64.62.197.218 - - [16/Mar/2023:01:21:47 +0900] "-" 400 2163
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:28:23 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:28:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:28:25 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:28:25 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:28:25 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
194.110.203.85 - - [16/Mar/2023:14:50:19 +0900] "-" 400 2163
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:37:00 +0900] "GET /MavenSample2/index.jsp HTTP/1.1" 200 17968
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:43:19 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:43:19 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:43:19 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:48:18 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:48:18 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:48:18 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:49:42 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:49:42 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:49:42 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:52:09 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:52:12 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14686
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:52:12 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 200 105608
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:52:12 +0900] "GET /MavenSample2/img/core-img/favicon.ico HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:10 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:10 +0900] "GET /MavenSample2/img/bg-img/bamen.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:15 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:15 +0900] "GET /MavenSample2/img/bg-img/bamen.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:16 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:16 +0900] "GET /MavenSample2/img/bg-img/bamen.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:31 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:55:31 +0900] "GET /MavenSample2/img/bg-img/bamen.png HTTP/1.1" 200 48279
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:25 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14689
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:25 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:25 +0900] "GET /MavenSample2/img/bg-img/bamen.png HTTP/1.1" 200 46496
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:27 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:29 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:50 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:16:58:50 +0900] "GET /MavenSample2/img/bg-img/bamen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:03:40 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14686
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:03:40 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 200 54741
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:03:40 +0900] "GET /MavenSample2/img/bg-img/14.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:04:02 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:04:18 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14686
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:04:18 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:04:42 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14684
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:04:42 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:09 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:09 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:19 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:19 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:20 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:27 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:30 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:30 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:35 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:40 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:46 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:05:46 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:06:18 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14684
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:06:18 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:08:03 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:08:03 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:08:31 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:08:31 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:15:12 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 200 14688
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:15:12 +0900] "GET /MavenSample2/img/core-img/bamentum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:15:12 +0900] "GET /MavenSample2/img/bg-img/bamen.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Mar/2023:17:39:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:17:39:50 +0900] "GET /projectTest/ex01.html HTTP/1.1" 200 186
192.241.220.21 - - [16/Mar/2023:18:02:14 +0900] "GET / HTTP/1.1" 404 807
65.49.20.68 - - [16/Mar/2023:20:35:54 +0900] "-" 400 2163
159.89.114.206 - - [16/Mar/2023:22:16:36 +0900] "GET / HTTP/1.1" 404 807
5.188.210.227 - - [16/Mar/2023:22:22:10 +0900] "-" 400 2163
5.188.210.227 - - [16/Mar/2023:22:23:10 +0900] "-" 400 2163
5.188.210.227 - - [16/Mar/2023:22:23:57 +0900] "GET /echo.php HTTP/1.1" 404 815
64.62.197.167 - - [16/Mar/2023:22:44:45 +0900] "GET / HTTP/1.1" 404 807
64.62.197.179 - - [16/Mar/2023:22:45:02 +0900] "GET /?format=json HTTP/1.1" 404 807
64.62.197.175 - - [16/Mar/2023:22:45:05 +0900] "CONNECT www.shadowserver.org:443 HTTP/1.1" 400 878
94.102.61.26 - - [16/Mar/2023:23:45:32 +0900] "-" 400 2163
